airport,weather_hour,precipitation,visibility,wind_speed,wind_gust,temperature,humidity,rain_flag,snow_flag,fog_flag,thunder_flag
MDW,2025-01-01 00:00:00,0.0,16.093,7.2,,1.1,76.0,0,0,0,0
MDW,2025-01-01 01:00:00,0.0,16.093,6.2,,0.6,72.0,0,0,0,0
MDW,2025-01-01 02:00:00,0.0,16.093,7.2,10.3,0.6,70.0,0,0,0,0
MDW,2025-01-01 03:00:00,0.0,16.0465,7.2,10.8,0.0,69.5,0,0,0,0
MDW,2025-01-01 04:00:00,0.0,16.093,7.2,11.3,0.0,64.0,0,0,0,0
MDW,2025-01-01 05:00:00,0.0,16.093,7.2,10.3,0.0,66.0,0,0,0,0
MDW,2025-01-01 06:00:00,0.0,16.093,6.7,11.8,-0.6,64.0,0,0,0,0
MDW,2025-01-01 07:00:00,0.0,16.093,6.95,13.4,-0.8500000000000001,61.0,0,0,0,0
MDW,2025-01-01 08:00:00,,16.093,5.7,10.3,-0.6,64.0,0,1,0,0
MDW,2025-01-01 09:00:00,,16.062,7.033333333333334,12.9,-0.6,63.0,0,1,0,0
MDW,2025-01-01 10:00:00,,16.093,7.449999999999999,11.3,-0.3,61.5,0,0,0,0
MDW,2025-01-01 11:00:00,0.0,16.093,7.2,12.4,-0.7333333333333334,62.0,0,0,0,0
MDW,2025-01-01 12:00:00,0.0,16.093,7.2,,-1.1,61.0,0,0,0,0
MDW,2025-01-01 13:00:00,0.0,16.093,7.7,11.3,-1.1,61.0,0,0,0,0
MDW,2025-01-01 14:00:00,0.0,16.093,6.2,,-1.1,61.0,0,0,0,0
MDW,2025-01-01 15:00:00,0.0,16.0465,6.2,10.8,-1.1,61.0,0,0,0,0
MDW,2025-01-01 16:00:00,0.0,16.093,5.1,13.9,-1.7,58.0,0,0,0,0
MDW,2025-01-01 17:00:00,0.0,16.093,4.85,,-1.85,58.5,0,0,0,0
MDW,2025-01-01 18:00:00,0.0,16.093,3.1,,-2.2,60.0,0,0,0,0
MDW,2025-01-01 19:00:00,0.0,16.093,4.1,,-1.7,61.0,0,0,0,0
MDW,2025-01-01 20:00:00,0.0,16.093,6.7,12.9,-1.7,54.0,0,0,0,0
MDW,2025-01-01 21:00:00,0.0,16.0465,6.45,11.8,-2.5,57.0,0,0,0,0
MDW,2025-01-01 22:00:00,,15.288499999999999,6.7,11.3,-3.3499999999999996,59.0,0,1,0,0
MDW,2025-01-01 23:00:00,,14.484,5.7,,-3.9,60.0,0,0,0,0
MDW,2025-01-02 00:00:00,0.0,16.093,5.7,,-3.9,60.0,0,0,0,0
MDW,2025-01-02 01:00:00,0.0,16.093,5.7,10.8,-3.9,60.0,0,0,0,0
MDW,2025-01-02 02:00:00,0.0,16.093,5.7,,-3.3,60.0,0,0,0,0
MDW,2025-01-02 03:00:00,0.0,16.062,4.8,8.8,-3.2999999999999994,59.0,0,0,0,0
MDW,2025-01-02 04:00:00,0.0,16.093,3.6,,-2.8,61.0,0,0,0,0
MDW,2025-01-02 05:00:00,0.0,16.093,4.1,,-2.8,61.0,0,0,0,0
MDW,2025-01-02 06:00:00,0.0,16.093,4.1,,-3.3,63.0,0,0,0,0
MDW,2025-01-02 07:00:00,0.0,16.093,3.6,,-3.3,63.0,0,0,0,0
MDW,2025-01-02 08:00:00,0.0,16.093,4.6,,-2.2,58.0,0,0,0,0
MDW,2025-01-02 09:00:00,0.0,16.0465,4.6,,-1.9500000000000002,56.0,0,0,0,0
MDW,2025-01-02 10:00:00,0.0,16.093,5.1,,-0.6,49.0,0,0,0,0
MDW,2025-01-02 11:00:00,0.0,16.093,4.1,,0.0,45.0,0,0,0,0
MDW,2025-01-02 12:00:00,0.0,16.093,4.6,,0.6,43.0,0,0,0,0
MDW,2025-01-02 13:00:00,0.0,16.093,4.6,,0.6,43.0,0,0,0,0
MDW,2025-01-02 14:00:00,0.0,16.093,5.1,,0.6,45.0,0,0,0,0
MDW,2025-01-02 15:00:00,0.0,16.0465,4.1,,0.6,45.0,0,0,0,0
MDW,2025-01-02 16:00:00,,16.093,5.1,,-1.1,66.0,0,1,0,0
MDW,2025-01-02 17:00:00,,9.656,3.6,,-1.7,78.0,0,1,0,0
MDW,2025-01-02 18:00:00,,4.828,3.1,,-1.7,78.0,0,1,0,0
MDW,2025-01-02 19:00:00,,12.875,3.6,,-1.7,78.0,0,1,0,0
MDW,2025-01-02 20:00:00,,16.093,4.6,,-1.7,76.5,0,0,0,0
MDW,2025-01-02 21:00:00,0.0,16.062,5.133333333333333,,-1.8666666666666665,74.0,0,0,0,0
MDW,2025-01-02 22:00:00,0.0,16.093,4.6,,-2.8,75.0,0,0,0,0
MDW,2025-01-02 23:00:00,0.0,16.093,4.6,,-2.8,69.0,0,0,0,0
MDW,2025-01-03 00:00:00,0.0,16.093,3.6,,-3.3,69.0,0,0,0,0
MDW,2025-01-03 01:00:00,0.0,16.093,4.1,,-3.9,69.0,0,0,0,0
MDW,2025-01-03 02:00:00,0.0,16.093,3.6,,-3.9,69.0,0,0,0,0
MDW,2025-01-03 03:00:00,0.0,16.0465,4.35,,-3.9,69.0,0,0,0,0
MDW,2025-01-03 04:00:00,,16.093,5.15,,-3.9,69.0,0,1,0,0
MDW,2025-01-03 05:00:00,,10.4605,5.65,8.8,-3.9,72.0,0,1,0,0
MDW,2025-01-03 06:00:00,,16.093,5.4,9.3,-4.15,70.0,0,1,0,0
MDW,2025-01-03 07:00:00,0.0,16.093,5.7,,-5.0,63.0,0,0,0,0
MDW,2025-01-03 08:00:00,0.0,16.093,5.7,,-5.0,57.0,0,0,0,0
MDW,2025-01-03 09:00:00,0.0,16.0465,6.7,,-5.0,56.0,0,0,0,0
MDW,2025-01-03 10:00:00,0.0,16.093,6.7,9.8,-4.4,52.0,0,0,0,0
MDW,2025-01-03 11:00:00,0.0,16.093,8.2,11.8,-3.3,48.0,0,0,0,0
MDW,2025-01-03 12:00:00,0.0,16.093,6.7,9.8,-3.3,51.0,0,0,0,0
MDW,2025-01-03 13:00:00,0.0,16.093,6.7,11.8,-3.9,50.0,0,0,0,0
MDW,2025-01-03 14:00:00,0.0,16.093,6.2,12.4,-3.9,48.0,0,0,0,0
MDW,2025-01-03 15:00:00,0.0,16.0465,6.45,,-3.9,48.0,0,0,0,0
MDW,2025-01-03 16:00:00,0.0,16.093,5.7,10.8,-4.4,48.0,0,0,0,0
MDW,2025-01-03 17:00:00,0.0,16.093,5.1,,-4.4,50.0,0,0,0,0
MDW,2025-01-03 18:00:00,0.0,16.093,6.7,,-5.0,53.0,0,0,0,0
MDW,2025-01-03 19:00:00,0.0,16.093,5.1,,-5.6,50.0,0,0,0,0
MDW,2025-01-03 20:00:00,0.0,16.093,4.6,,-5.6,48.0,0,0,0,0
MDW,2025-01-03 21:00:00,0.0,16.0465,5.15,,-5.85,50.0,0,0,0,0
MDW,2025-01-03 22:00:00,0.0,16.093,4.1,,-6.7,52.0,0,0,0,0
MDW,2025-01-03 23:00:00,0.0,16.093,4.1,,-7.2,51.0,0,0,0,0
MDW,2025-01-04 00:00:00,0.0,16.093,4.1,,-7.8,54.0,0,0,0,0
MDW,2025-01-04 01:00:00,0.0,16.093,5.1,,-8.3,56.0,0,0,0,0
MDW,2025-01-04 02:00:00,0.0,16.093,5.7,8.2,-8.3,56.0,0,0,0,0
MDW,2025-01-04 03:00:00,0.0,16.0465,4.9,,-8.600000000000001,57.5,0,0,0,0
MDW,2025-01-04 04:00:00,0.0,16.093,5.1,,-9.4,59.0,0,0,0,0
MDW,2025-01-04 05:00:00,0.0,16.093,3.6,,-10.0,61.0,0,0,0,0
MDW,2025-01-04 06:00:00,0.0,16.093,4.6,,-10.0,61.0,0,0,0,0
MDW,2025-01-04 07:00:00,0.0,16.093,4.1,,-10.0,61.0,0,0,0,0
MDW,2025-01-04 08:00:00,0.0,16.093,5.1,,-9.4,59.0,0,0,0,0
MDW,2025-01-04 09:00:00,0.0,16.0465,5.4,,-8.6,54.0,0,0,0,0
MDW,2025-01-04 10:00:00,0.0,16.093,4.6,,-6.7,43.0,0,0,0,0
MDW,2025-01-04 11:00:00,0.0,16.093,5.1,,-5.0,38.0,0,0,0,0
MDW,2025-01-04 12:00:00,0.0,16.093,5.1,,-4.4,35.0,0,0,0,0
MDW,2025-01-04 13:00:00,0.0,16.093,4.6,,-3.9,33.0,0,0,0,0
MDW,2025-01-04 14:00:00,0.0,16.093,3.1,,-3.9,33.0,0,0,0,0
MDW,2025-01-04 15:00:00,0.0,16.0465,3.8499999999999996,,-4.15,34.5,0,0,0,0
MDW,2025-01-04 16:00:00,0.0,16.093,3.1,,-5.0,36.0,0,0,0,0
